title,story_link,date_time,authors,authors_link,thumbnail_link
Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X,https://www.altnews.in/squint-neon-a-sordid-saga-of-anti-muslim-hate-online-harassment-of-interfaith-couples-on-x/,9TH FEBRUARY 2024,"ARCHIT , KINJAL , ARCHIT , SHINJINEE MAJUMDER , SHINJINEE MAJUMDER , MOHAMMED ZUBAIR , OISHANI BHATTACHARYA , ABHISHEK KUMAR , SHINJINEE MAJUMDER , KALIM AHMED , PRIYANKA JHA , OISHANI BHATTACHARYA , SHINJINEE MAJUMDER , SHINJINEE MAJUMDER , OISHANI BHATTACHARYA , MOHAMMED ZUBAIR , OISHANI BHATTACHARYA , ABHISHEK KUMAR , SHINJINEE MAJUMDER , ","https://www.altnews.in/author/archit-mehta/ , https://www.altnews.in/author/kinjal/ , https://www.altnews.in/author/archit-mehta/ , https://www.altnews.in/author/shinjinee/ , https://www.altnews.in/author/shinjinee/ , https://www.altnews.in/author/mzubair/ , https://www.altnews.in/author/oishani/ , https://www.altnews.in/author/abhishekkumar/ , https://www.altnews.in/author/shinjinee/ , https://www.altnews.in/author/kalimahmed/ , https://www.altnews.in/author/priyanka-jha/ , https://www.altnews.in/author/oishani/ , https://www.altnews.in/author/shinjinee/ , https://www.altnews.in/author/shinjinee/ , https://www.altnews.in/author/oishani/ , https://www.altnews.in/author/mzubair/ , https://www.altnews.in/author/oishani/ , https://www.altnews.in/author/abhishekkumar/ , https://www.altnews.in/author/shinjinee/ , ",https://www.altnews.in/wp-content/uploads/2024/02/Copy-of-Feature-Image-Template-32-1-768x402.jpg
Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’,https://www.altnews.in/alt-news-investigation-multiple-handles-run-bogus-fundraisers-on-x-benefiting-a-certain-sandeep-mandal/,-,"MOHAMMED ZUBAIR , OISHANI BHATTACHARYA , ABHISHEK KUMAR , ","https://www.altnews.in/author/mzubair/ , https://www.altnews.in/author/oishani/ , https://www.altnews.in/author/abhishekkumar/ , ",https://www.altnews.in/wp-content/uploads/2024/02/Copy-of-FI-Kit-78-300x157.jpg
Viral ‘exclusive’ video of Virat Kohli at Ram Mandir consecration is actually an old clip from a Ganesh Chaturthi event,https://www.altnews.in/viral-exclusive-video-of-virat-kohli-at-ram-mandir-consecration-is-actually-an-old-clip-from-a-ganesh-chaturthi-event/,5TH FEBRUARY 2024,"OISHANI BHATTACHARYA , ","https://www.altnews.in/author/oishani/ , ",https://www.altnews.in/wp-content/uploads/2024/01/FI-Template-34-300x157.jpg
Burj Khalifa photos with Hindu deity Ram’s image projected on it are edited,https://www.altnews.in/burj-khalifa-photo-with-hindu-deity-rams-image-projected-on-it-is-edited/,-,"SHINJINEE MAJUMDER , ","https://www.altnews.in/author/shinjinee/ , ",https://www.altnews.in/wp-content/uploads/2024/01/Copy-of-Feature-Image-Template-2024-01-23T171031.274.jpg
Fight over ‘Akshata’ distribution injures 4 in Karnataka; Rahul Shivshankar calls it ‘Hindumesia’ in misleading tweet,https://www.altnews.in/fight-over-akshata-distribution-injures-4-in-karnataka-rahul-shivshankar-calls-it-hindumesia-in-misleading-tweet/,27TH JANUARY 2024,"SHINJINEE MAJUMDER , ","https://www.altnews.in/author/shinjinee/ , ",https://www.altnews.in/wp-content/uploads/2024/01/Copy-of-Feature-Image-Template-26.jpg
"An MBA from Australia, Neha Patel now leads violent cow-vigilantes in Gujarat",https://www.altnews.in/an-mba-from-australia-neha-patel-now-leads-violent-cow-vigilantes-in-gujarat/,-,"OISHANI BHATTACHARYA , ","https://www.altnews.in/author/oishani/ , ",https://www.altnews.in/wp-content/uploads/2024/01/Copy-of-FI-Kit-73.jpg
Bangladeshi short film scenes shared to claim sexual abuse in Indian madrasas,https://www.altnews.in/visuals-from-bangladesh-short-film-shared-with-false-claim-to-target-madarsa-in-india/,23RD JANUARY 2024,"PRIYANKA JHA , ","https://www.altnews.in/author/priyanka-jha/ , ",https://www.altnews.in/wp-content/uploads/2020/10/Bangladesh-Short-Film-Fi-768x402.jpg
"Viral video: Doctor sexually assaulting patient is Giovanni Quintella Bezerra from Brazil, not ‘Islam Mohammad’",https://www.altnews.in/viral-video-doctor-sexually-assaulting-patient-is-giovanni-quintella-bezerra-from-brazil-not-islam-mohammad/,-,"KALIM AHMED , ","https://www.altnews.in/author/kalimahmed/ , ",https://www.altnews.in/wp-content/uploads/2023/02/2023-02-27-13_44_46-Untitled-design-1200-%C3%97-628px-Brave-150x150.jpg
Kharge did not ‘admit defeat’ by acceding 400 seats to BJP; clipped video shared by Union ministers,https://www.altnews.in/kharge-did-not-admit-defeat-by-acceding-400-seats-to-bjp-clipped-video-shared-by-union-ministers/,20TH JANUARY 2024,"SHINJINEE MAJUMDER , ","https://www.altnews.in/author/shinjinee/ , ",https://www.altnews.in/wp-content/uploads/2024/02/Copy-of-Feature-Image-Template-31-150x150.jpg
"Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it",https://www.altnews.in/ladder-walking-its-a-phenomenon-called-passive-dynamic-walking-nothing-paranormal-about-it/,-,"SHINJINEE MAJUMDER , ","https://www.altnews.in/author/shinjinee/ , ",https://www.altnews.in/wp-content/uploads/2023/08/Copy-of-FI-Kit-30-300x157.jpg
Misleading video claiming dry ginger can cure Omicron is scientifically baseless,https://www.altnews.in/misleading-video-claiming-dry-ginger-can-cure-omicron-is-scientifically-baseless/,19TH JANUARY 2024,"ARCHIT , ","https://www.altnews.in/author/archit-mehta/ , ",-
"Magical stone melting metal nails? No, the nails are made of gallium",https://www.altnews.in/stone-dissolve-iron-false-claim-that-its-a-miracle-stone-found-in-afganistan/,-,"KINJAL , ","https://www.altnews.in/author/kinjal/ , ",-
Fake chart shows COVID-19 variant “timeline” predicting release dates,https://www.altnews.in/fake-chart-shows-covid-19-variant-timeline-predicting-release-dates/,-,"ARCHIT , ","https://www.altnews.in/author/archit-mehta/ , ",-
Flag row in Karanatka’s Mandya: How ANI misled its audience by using state BJP chief’s erroneous statement,https://www.altnews.in/flag-row-in-karanatkas-mandya-how-ani-misled-its-audience-by-using-state-bjp-chiefs-erroneous-statement/,-,-,-,https://www.altnews.in/wp-content/uploads/2024/02/flag-300x157.jpg
"No, Chinese leader Xi Jinping did not thank Rahul Gandhi, fake Global Times tweet viral",https://www.altnews.in/xi-jinping-didnt-thank-rahul-gandhi-bharat-jodo-nyay-yatra-fake-tweet-viral/,-,-,-,https://www.altnews.in/wp-content/uploads/2024/01/rahul-china-300x157.jpg
Video of BJP’s Lavingji Thakor cleaning temple premises shared with false claims,https://www.altnews.in/did-bjp-mla-brings-waste-to-temple-premises-and-then-clean-it-no-misleading-claim-viral/,-,-,-,https://www.altnews.in/wp-content/uploads/2024/01/bjp-300x157.jpg
