name,profile_link,profile_pic_link,date_time,post_text,picture_link,video_link,other_link,hashtags
nixCraft,https://mastodon.social/@nixCraft,https://files.mastodon.social/accounts/avatars/000/038/659/original/b0de8058da52f2aa.jpg,2h,Human Resources (HR) is not your friend at all. They exist to protect companies' interests. Always remember that.,-,-,-,-
Angus McIntyre,https://mastodon.social/@angusm,https://files.mastodon.social/accounts/avatars/000/015/297/original/media.jpg,2h,"This is Crimecat, one of our two current fosters. Crimecat does crimes and fights plants.
Crimecat's crimes are numerous, but the most spectacular include the Assault on the Aloe (which left the kitchen covered in potting soil), the Midnight Treat Heist, the Great Kibble Bag Shredding, and the “Are All These Plants Good to Eat?” Massacre. There's never a dull moment with Crimecat around.
""Crimecat: Eight Pounds of Crime”. At a cinema near you from #caturday.","https://files.mastodon.social/media_attachments/files/111/908/084/741/007/295/small/0af40d53e526a1c8.jpeg , ",-,https://mastodon.social/tags/caturday, #cats #CatsOfMastodon
Curious Moopsy,https://mastodon.social/@moopsy@tenforward.social,https://files.mastodon.social/cache/accounts/avatars/111/867/892/291/395/714/original/1a20954059478ac0.png,2h,The most fantastic fruit platter I’ve ever seen…,"https://files.mastodon.social/cache/media_attachments/files/111/908/134/357/580/916/small/51b7d306fa863a7f.png , ",-,-, #Dragon #YearOfTheDragon #LunarNewYear
Molly White,https://mastodon.social/@molly0xfff@hachyderm.io,https://files.mastodon.social/cache/accounts/avatars/109/332/160/649/392/039/original/4186dce0328705ed.jpeg,3h,"""If no one tries to do it, it for sure won't be done.""
https://www.
404media.co/this-guy-is-buildi
ng-an-open-source-search-engine-in-real-time/",-,-,https://www.404media.co/this-guy-is-building-an-open-source-search-engine-in-real-time/, #OpenSource
Jeremy Keith,https://mastodon.social/@adactio,https://files.mastodon.social/accounts/avatars/000/037/723/original/77493778c2dc9d47.jpg,8h,"When people say “RSS is dead” what they really mean is “we couldn’t figure out a way to monetise RSS.”
 https://
adactio.com/notes/20871",-,-,https://adactio.com/notes/20871,-
Eugen Rochko,https://mastodon.social/@Gargron,https://files.mastodon.social/accounts/avatars/000/000/001/original/1a8137d3b26704e0.png,3h,Painted my first miniature. Got this Space Marine and the paints in Brussels the other day. ,"https://files.mastodon.social/media_attachments/files/111/907/928/561/419/517/small/a3063f8bab2c9432.jpeg , https://files.mastodon.social/media_attachments/files/111/907/928/194/410/677/small/e662d25fcf463e94.jpeg , https://files.mastodon.social/media_attachments/files/111/907/927/785/528/102/small/8ab1ea1223584bf1.jpeg , ",-,-, #WarhammerCommunity #Warhammer40K #Warhammer
Waldo Jaquith,https://mastodon.social/@waldoj,https://files.mastodon.social/accounts/avatars/000/036/431/original/8c0d683ba97fca33.jpg,4h,CNN blocking the default configuration of Safari is a bold move.,"https://files.mastodon.social/media_attachments/files/111/907/625/575/938/611/small/474cbc2a99023ba7.png , ",-,-,-
Joan Westenberg,https://mastodon.social/@Daojoan,https://files.mastodon.social/accounts/avatars/109/769/076/265/344/791/original/8ced8542205417cf.jpeg,35m,"When I was in my early 20’s, I hustled my ass off. I worked 2 jobs and a side hustle. I drank 8 cups of coffee a day and popped No Doz pills to work at night. 
And then I burned the fuck out. And crashed hard. 
And it wasn’t worth it. 
There’s a lot of folks who will tell you: “grind to the point of exhaustion. Chase wealth and rest later. Make work your only religion.”
That advice is poison. It will leave you broken and hurt and tired and alone.",-,-,-,-
Kris,https://mastodon.social/@krssctt,https://files.mastodon.social/accounts/avatars/000/480/104/original/bdfca132d32e3c10.png,5h,Happy Year of the Dragon friends!,"https://files.mastodon.social/media_attachments/files/111/907/498/295/793/689/small/6e15b34f4f6a7ac2.jpeg , ",-,-,-
Andrew Gallagher,https://mastodon.social/@andrewg@mastodon.ie,https://files.mastodon.social/cache/accounts/avatars/109/257/400/480/488/179/original/0c54f3ccbeace5ea.png,3h,"Oh god, somebody please tell them?","https://files.mastodon.social/cache/media_attachments/files/111/907/907/314/812/213/small/30c70a387f0b595f.png , ",-,-,-
LindaCollins11,https://mastodon.social/@LindaCollins11,https://files.mastodon.social/accounts/avatars/110/520/745/639/000/582/original/e3006ccd4e126cc5.jpg,1h,Real mystery ,"https://files.mastodon.social/media_attachments/files/111/908/311/810/096/777/small/30d5f2e43cc2094c.jpg , ",-,-,-
Laffy,https://mastodon.social/@GottaLaff,https://files.mastodon.social/accounts/avatars/109/253/075/745/809/751/original/6e1210f7ebf4ce1d.jpg,1h,"#Trump and the GOP Fascist Party: It was a peaceful demonstration! Legitimate political discourse! Normal tourist visit! No guns! Loving patriots! (YOU'RE the puppet)
Via Adam Parkhomenko:
Incredible what we are still learning
Ryan Reilly:
NEW: #Jan6 footage appears to show rioter firing a gun in the air during Capitol attack",-,-,https://mastodon.social/tags/Trump,-
J. L. Westover,https://mastodon.social/@MrLovenstein,https://files.mastodon.social/accounts/avatars/000/236/983/original/0d15163171048b4b.png,4h,"Secret Panel HERE  
https://
tapas.io/episode/2435120","https://files.mastodon.social/media_attachments/files/111/907/729/303/770/024/small/0ed91a1ab11ff533.png , ",-,https://tapas.io/episode/2435120,-
