title,title_link,stated_on,title_image_link,title_image_alt
"Biden won’t be charged in classified documents case, but special counsel report questions his memory",https://www.politifact.com/article/2024/feb/09/biden-wont-be-charged-classified-documents-case/,"By Louis Jacobson • February 9, 2024",https://static.politifact.com/CACHE/images/politifact/photos/biden_docs_2_copy/99b7daef354c75fa7d018080713ee74f.jpg,"Biden won’t be charged in classified documents case, but special counsel report questions his memory"
U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know,https://www.politifact.com/article/2024/feb/08/us-supreme-court-hears-arguments-on-removing-donal/,"By Louis Jacobson • February 8, 2024",https://static.politifact.com/CACHE/images/politifact/photos/supreme_court_building/bcf88a84b1352243ffe8da7f741eb532.jpg,U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know
We want to be more transparent with you about our fact-checking. Here’s how,https://www.politifact.com/article/2024/feb/08/politifact-transparency-2024-fact-check-elections/,"By Ellen Hine • February 8, 2024",https://static.politifact.com/CACHE/images/politifact/photos/politifact_collage/4b23c26fc85e4d3b4917631a3729021f.jpg,We want to be more transparent with you about our fact-checking. Here’s how
Sen. Chris Murphy said ‘the border never closes.’ What does that mean?,https://www.politifact.com/article/2024/feb/07/sen-chris-murphy-said-the-border-never-closes-what/,"By Samantha Putterman • February 7, 2024",https://static.politifact.com/CACHE/images/politifact/photos/Sen._Chris_Murphy_D-Conn._speaks_in_news_conference_in_Feb_2024/35fc34c7692b6a8bfc8fc4fca2f7be57.jpg,Sen. Chris Murphy said ‘the border never closes.’ What does that mean?
"As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic",https://www.politifact.com/article/2024/feb/07/as-chinese-immigration-to-us-rises-republicans-and/,"By Maria Ramirez Uribe • February 7, 2024",https://static.politifact.com/CACHE/images/politifact/photos/AP24034187769739/0ead7ef876ea9e16c433c11503d7db9c.jpg,"As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic"
Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?,https://www.politifact.com/article/2024/feb/06/ask-politifact-what-does-the-data-show-on-deadly-s/,"By Samantha Putterman • February 6, 2024",https://static.politifact.com/CACHE/images/politifact/photos/Long_guns_on_display_in_Maine_store/56b059f9f884b0cf867358536c138d5c.jpg,Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?
"Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory",https://www.politifact.com/article/2024/feb/02/taylor-swift-singer-songwriter-psyop-how-conservat/,"By Madison Czopek • February 2, 2024",https://static.politifact.com/CACHE/images/politifact/photos/Taylor_Swift_performs_22The_Eras_Tour22_in_Los_Angeles_Aug._7_2023/7fa739a2b6d8e106dda888db5b72a680.jpeg,"Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory"
What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?,https://www.politifact.com/article/2024/feb/02/What-would-taylor-swift-endorsement-mean/,"By Louis Jacobson • February 2, 2024",https://static.politifact.com/CACHE/images/politifact/photos/AP24024825197576/99e7208b283256315ed579ca9067eee5.jpg,What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?
Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?,https://www.politifact.com/article/2024/feb/02/ask-politifact-can-joe-biden-shut-down-the-border/,"By Maria Ramirez Uribe • February 2, 2024",https://static.politifact.com/CACHE/images/politifact/photos/AP23297773423612/c2932e77c326cbbc7c31bfa198a3060b.jpg,Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?
Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution,https://www.politifact.com/article/2024/feb/01/explaining-ron-desantis-effort-to-call-a-conventio/,"By Louis Jacobson • February 1, 2024",https://static.politifact.com/CACHE/images/politifact/photos/AP24010647757032_1/f53b816039a4b767f19709b671ccf0f7.jpg,Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution
Joe Biden,https://www.politifact.com/personalities/joe-biden/,-,https://static.politifact.com/CACHE/images/politifact/mugs/AP_19138732015030/ac9362a6cf188ef35e318b73dbd46a04.jpg,
Citizens for Sanity,https://www.politifact.com/personalities/citizens-sanity/,-,https://static.politifact.com/CACHE/images/politifact/mugs/305066915_107016768814077_4257912391860664572_n/1a57b1d4d36a699e349d44b2fdb133dc.jpg,
Jeh Johnson,https://www.politifact.com/personalities/jeh-johnson/,-,https://static.politifact.com/CACHE/images/politifact/mugs/AP_16147786370702/f29525b6843975d9045803cc41a36f68.jpg,
Francis Suarez,https://www.politifact.com/personalities/francis-suarez/,-,https://static.politifact.com/CACHE/images/politifact/mugs/AP23062757631187/9275cf0bac18ef9507fc17623dd54b4b.jpg,
Donald Trump,https://www.politifact.com/personalities/donald-trump/,-,https://static.politifact.com/CACHE/images/politifact/mugs/AP_17226541257169/da40baf0ed859a5702e5749eca5160ca.jpg,
Posts misrepresent the status of a bill that could disqualify Trump from the ballot in Hawaii,https://apnews.com/article/fact-check-hawaii-bill-trump-ballot-passed-election-308367875335,"By Associated Press • February 8, 2024",https://static.politifact.com/politifact/curation/sources/ap_1.jpg,
Trump says Jan. 6 was ‘an insurrection caused by Nancy Pelosi’,https://www.cnn.com/2024/02/08/politics/fact-check-trump-january-6/index.html,"By CNN • February 8, 2024",https://static.politifact.com/politifact/curation/sources/cnn_1.jpg,
Vehicles contribute fewer emissions than gasoline-powered cars over their lifetimes,https://www.factcheck.org/2024/02/electric-vehicles-contribute-fewer-emissions-than-gasoline-powered-cars-over-their-lifetimes/,"By FactCheck.org • February 8, 2024",https://static.politifact.com/politifact/curation/sources/fc-org_1.jpg,
No evidence to link UK excess deaths to COVID-19 vaccines,https://www.reuters.com/fact-check/no-evidence-link-uk-excess-deaths-covid-19-vaccines-2024-02-06/,"By Reuters • February 7, 2024",https://static.politifact.com/politifact/curation/sources/reuters_1.jpg,
Is gun violence really the leading cause of death for children?,https://www.washingtonpost.com/politics/2024/02/07/is-gun-violence-leading-cause-death-children/,"By Washington Post FactChecker • February 7, 2024",https://static.politifact.com/politifact/curation/sources/wapo-fc_1.jpg,
